db,model,auc
kr-vs-k-zero_vs_fifteen,BRM,0.2775211701308699
kr-vs-k-zero_vs_fifteen,GMM,0.758275596612779
kr-vs-k-zero_vs_fifteen,ISOF,0.06812933025404155
kr-vs-k-zero_vs_fifteen,OCSVM,0.24018475750577367
kr-vs-k-zero_vs_fifteen,manhattanBRM,0.275211701308699
kr-vs-k-zero_vs_fifteen,cosineBRM,0.2806004618937644
kr-vs-k-zero_vs_fifteen,chebyshevBRM,0.25404157043879905
kr-vs-k-zero_vs_eight,BRM,0.3875291375291375
kr-vs-k-zero_vs_eight,GMM,0.21328671328671328
kr-vs-k-zero_vs_eight,ISOF,0.48659673659673663
kr-vs-k-zero_vs_eight,OCSVM,0.5332167832167832
kr-vs-k-zero_vs_eight,manhattanBRM,0.3822843822843822
kr-vs-k-zero_vs_eight,cosineBRM,0.41666666666666663
kr-vs-k-zero_vs_eight,chebyshevBRM,0.41870629370629364
kr-vs-k-zero-one_vs_draw,BRM,0.21011904761904762
kr-vs-k-zero-one_vs_draw,GMM,0.39851190476190473
kr-vs-k-zero-one_vs_draw,ISOF,0.38541666666666663
kr-vs-k-zero-one_vs_draw,OCSVM,0.38035714285714284
kr-vs-k-zero-one_vs_draw,manhattanBRM,0.2263605442176871
kr-vs-k-zero-one_vs_draw,cosineBRM,0.16122448979591833
kr-vs-k-zero-one_vs_draw,chebyshevBRM,0.16624149659863946
kr-vs-k-three_vs_eleven,BRM,0.18359133126934984
kr-vs-k-three_vs_eleven,GMM,0.42719298245614035
kr-vs-k-three_vs_eleven,ISOF,0.44019607843137254
kr-vs-k-three_vs_eleven,OCSVM,0.2776573787409701
kr-vs-k-three_vs_eleven,manhattanBRM,0.18983488132094944
kr-vs-k-three_vs_eleven,cosineBRM,0.2063983488132095
kr-vs-k-three_vs_eleven,chebyshevBRM,0.15175438596491228
kr-vs-k-one_vs_fifteen,BRM,0.1581986143187067
kr-vs-k-one_vs_fifteen,GMM,0.5614896073903003
kr-vs-k-one_vs_fifteen,ISOF,0.051963048498845255
kr-vs-k-one_vs_fifteen,OCSVM,0.2887557736720554
kr-vs-k-one_vs_fifteen,manhattanBRM,0.1721997690531178
kr-vs-k-one_vs_fifteen,cosineBRM,0.174364896073903
kr-vs-k-one_vs_fifteen,chebyshevBRM,0.17999422632794457
habermanImb,BRM,0.33202614379084966
habermanImb,GMM,0.26928104575163403
habermanImb,ISOF,0.4235294117647058
habermanImb,OCSVM,0.5941176470588235
habermanImb,manhattanBRM,0.3411764705882353
habermanImb,cosineBRM,0.30980392156862746
habermanImb,chebyshevBRM,0.3529411764705882
glass6,BRM,0.2702702702702703
glass6,GMM,0.8648648648648649
glass6,ISOF,0.30405405405405406
glass6,OCSVM,0.21621621621621623
glass6,manhattanBRM,0.2882882882882883
glass6,cosineBRM,0.24774774774774772
glass6,chebyshevBRM,0.2702702702702703
glass5,BRM,0.036585365853658514
glass5,GMM,0.12195121951219512
glass5,ISOF,0.31097560975609756
glass5,OCSVM,0.20731707317073172
glass5,manhattanBRM,0.036585365853658514
glass5,cosineBRM,0.036585365853658514
glass5,chebyshevBRM,0.04878048780487804
glass4,BRM,0.1416666666666667
glass4,GMM,0.85
glass4,ISOF,0.55
glass4,OCSVM,0.4541666666666666
glass4,manhattanBRM,0.15000000000000002
glass4,cosineBRM,0.10833333333333331
glass4,chebyshevBRM,0.15
glass2,BRM,0.5192307692307692
glass2,GMM,0.3205128205128205
glass2,ISOF,0.5769230769230769
glass2,OCSVM,0.6314102564102564
glass2,manhattanBRM,0.5705128205128205
glass2,cosineBRM,0.5769230769230769
glass2,chebyshevBRM,0.5192307692307693
glass1,BRM,0.4259259259259259
glass1,GMM,0.3900462962962963
glass1,ISOF,0.579861111111111
glass1,OCSVM,0.5532407407407407
glass1,manhattanBRM,0.41898148148148145
glass1,cosineBRM,0.4490740740740741
glass1,chebyshevBRM,0.45601851851851855
glass0,BRM,0.7660098522167488
glass0,GMM,0.3103448275862069
glass0,ISOF,0.5862068965517242
glass0,OCSVM,0.7032019704433496
glass0,manhattanBRM,0.7389162561576355
glass0,cosineBRM,0.7536945812807883
glass0,chebyshevBRM,0.7610837438423645
glass-0-6_vs_5,BRM,0.275
glass-0-6_vs_5,GMM,0.5750000000000001
glass-0-6_vs_5,ISOF,0.55
glass-0-6_vs_5,OCSVM,0.75
glass-0-6_vs_5,manhattanBRM,0.275
glass-0-6_vs_5,cosineBRM,0.2
glass-0-6_vs_5,chebyshevBRM,0.27499999999999997
glass-0-4_vs_5,BRM,0.2647058823529412
glass-0-4_vs_5,GMM,0.47058823529411764
glass-0-4_vs_5,ISOF,0.5588235294117647
glass-0-4_vs_5,OCSVM,0.5735294117647058
glass-0-4_vs_5,manhattanBRM,0.2647058823529412
glass-0-4_vs_5,cosineBRM,0.20588235294117652
glass-0-4_vs_5,chebyshevBRM,0.3235294117647059
glass-0-1-6_vs_5,BRM,0.2142857142857143
glass-0-1-6_vs_5,GMM,0.8714285714285714
glass-0-1-6_vs_5,ISOF,0.5285714285714286
glass-0-1-6_vs_5,OCSVM,0.7285714285714286
glass-0-1-6_vs_5,manhattanBRM,0.24285714285714288
glass-0-1-6_vs_5,cosineBRM,0.17142857142857143
glass-0-1-6_vs_5,chebyshevBRM,0.2142857142857143
glass-0-1-6_vs_2,BRM,0.5357142857142857
glass-0-1-6_vs_2,GMM,0.5
glass-0-1-6_vs_2,ISOF,0.6
glass-0-1-6_vs_2,OCSVM,0.7
glass-0-1-6_vs_2,manhattanBRM,0.5357142857142857
glass-0-1-6_vs_2,cosineBRM,0.5357142857142857
glass-0-1-6_vs_2,chebyshevBRM,0.5214285714285715
glass-0-1-5_vs_2,BRM,0.4596774193548387
glass-0-1-5_vs_2,GMM,0.532258064516129
glass-0-1-5_vs_2,ISOF,0.6290322580645161
glass-0-1-5_vs_2,OCSVM,0.7298387096774194
glass-0-1-5_vs_2,manhattanBRM,0.4435483870967742
glass-0-1-5_vs_2,cosineBRM,0.4435483870967742
glass-0-1-5_vs_2,chebyshevBRM,0.47580645161290325
glass-0-1-4-6_vs_2,BRM,0.6351351351351352
glass-0-1-4-6_vs_2,GMM,0.6081081081081081
glass-0-1-4-6_vs_2,ISOF,0.5810810810810811
glass-0-1-4-6_vs_2,OCSVM,0.7297297297297297
glass-0-1-4-6_vs_2,manhattanBRM,0.6351351351351351
glass-0-1-4-6_vs_2,cosineBRM,0.6081081081081081
glass-0-1-4-6_vs_2,chebyshevBRM,0.6148648648648648
glass-0-1-2-3_vs_4-5-6,BRM,0.24147727272727273
glass-0-1-2-3_vs_4-5-6,GMM,0.24431818181818182
glass-0-1-2-3_vs_4-5-6,ISOF,0.3039772727272727
glass-0-1-2-3_vs_4-5-6,OCSVM,0.2471590909090909
glass-0-1-2-3_vs_4-5-6,manhattanBRM,0.25568181818181823
glass-0-1-2-3_vs_4-5-6,cosineBRM,0.23579545454545453
glass-0-1-2-3_vs_4-5-6,chebyshevBRM,0.23863636363636362
flare-F,BRM,0.18644986449864498
flare-F,GMM,0.7195121951219512
flare-F,ISOF,0.3100271002710027
flare-F,OCSVM,0.2829268292682927
flare-F,manhattanBRM,0.1869918699186992
flare-F,cosineBRM,0.2021680216802168
flare-F,chebyshevBRM,0.18482384823848239
ecoli4,BRM,0.203125
ecoli4,GMM,0.6796875
ecoli4,ISOF,0.5390625
ecoli4,OCSVM,0.2109375
ecoli4,manhattanBRM,0.1875
ecoli4,cosineBRM,0.4296875
ecoli4,chebyshevBRM,0.22265625
ecoli3,BRM,0.477751756440281
ecoli3,GMM,0.5245901639344263
ecoli3,ISOF,0.43911007025761123
ecoli3,OCSVM,0.30093676814988285
ecoli3,manhattanBRM,0.48009367681498827
ecoli3,cosineBRM,0.7868852459016393
ecoli3,chebyshevBRM,0.5058548009367682
ecoli2,BRM,0.43540669856459335
ecoli2,GMM,0.5350877192982456
ecoli2,ISOF,0.507177033492823
ecoli2,OCSVM,0.401116427432217
ecoli2,manhattanBRM,0.4114832535885168
ecoli2,cosineBRM,0.32216905901116427
ecoli2,chebyshevBRM,0.4354066985645933
ecoli1,BRM,0.3918269230769231
ecoli1,GMM,0.860576923076923
ecoli1,ISOF,0.4951923076923077
ecoli1,OCSVM,0.3894230769230769
ecoli1,manhattanBRM,0.3798076923076923
ecoli1,cosineBRM,0.6490384615384615
ecoli1,chebyshevBRM,0.41225961538461536
ecoli-0_vs_1,BRM,0.7379310344827587
ecoli-0_vs_1,GMM,0.5
ecoli-0_vs_1,ISOF,0.5827586206896552
ecoli-0_vs_1,OCSVM,0.6091954022988506
ecoli-0_vs_1,manhattanBRM,0.7563218390804598
ecoli-0_vs_1,cosineBRM,0.49425287356321834
ecoli-0_vs_1,chebyshevBRM,0.7264367816091953
ecoli-0-6-7_vs_5,BRM,0.16875
ecoli-0-6-7_vs_5,GMM,0.5375
ecoli-0-6-7_vs_5,ISOF,0.625
ecoli-0-6-7_vs_5,OCSVM,0.45000000000000007
ecoli-0-6-7_vs_5,manhattanBRM,0.14375
ecoli-0-6-7_vs_5,cosineBRM,0.3625
ecoli-0-6-7_vs_5,chebyshevBRM,0.175
ecoli-0-6-7_vs_3-5,BRM,0.025
ecoli-0-6-7_vs_3-5,GMM,0.55
ecoli-0-6-7_vs_3-5,ISOF,0.25
ecoli-0-6-7_vs_3-5,OCSVM,0.33749999999999997
ecoli-0-6-7_vs_3-5,manhattanBRM,0.010000000000000009
ecoli-0-6-7_vs_3-5,cosineBRM,0.11499999999999999
ecoli-0-6-7_vs_3-5,chebyshevBRM,0.045
ecoli-0-4-6_vs_5,BRM,0.19594594594594594
ecoli-0-4-6_vs_5,GMM,0.5
ecoli-0-4-6_vs_5,ISOF,0.20608108108108109
ecoli-0-4-6_vs_5,OCSVM,0.40878378378378377
ecoli-0-4-6_vs_5,manhattanBRM,0.19594594594594594
ecoli-0-4-6_vs_5,cosineBRM,0.3716216216216216
ecoli-0-4-6_vs_5,chebyshevBRM,0.23648648648648646
ecoli-0-3-4_vs_5,BRM,0.2638888888888889
ecoli-0-3-4_vs_5,GMM,0.19444444444444442
ecoli-0-3-4_vs_5,ISOF,0.3472222222222222
ecoli-0-3-4_vs_5,OCSVM,0.29166666666666663
ecoli-0-3-4_vs_5,manhattanBRM,0.25
ecoli-0-3-4_vs_5,cosineBRM,0.41666666666666663
ecoli-0-3-4_vs_5,chebyshevBRM,0.2916666666666667
ecoli-0-3-4-7_vs_5-6,BRM,0.2978723404255319
ecoli-0-3-4-7_vs_5-6,GMM,0.3
ecoli-0-3-4-7_vs_5-6,ISOF,0.29574468085106387
ecoli-0-3-4-7_vs_5-6,OCSVM,0.4085106382978723
ecoli-0-3-4-7_vs_5-6,manhattanBRM,0.2851063829787234
ecoli-0-3-4-7_vs_5-6,cosineBRM,0.3574468085106383
ecoli-0-3-4-7_vs_5-6,chebyshevBRM,0.3148936170212766
ecoli-0-3-4-6_vs_5,BRM,0.2162162162162162
ecoli-0-3-4-6_vs_5,GMM,0.597972972972973
ecoli-0-3-4-6_vs_5,ISOF,0.4560810810810811
ecoli-0-3-4-6_vs_5,OCSVM,0.21621621621621623
ecoli-0-3-4-6_vs_5,manhattanBRM,0.17567567567567566
ecoli-0-3-4-6_vs_5,cosineBRM,0.2635135135135135
ecoli-0-3-4-6_vs_5,chebyshevBRM,0.21621621621621623
ecoli-0-2-6-7_vs_3-5,BRM,0.14000000000000004
ecoli-0-2-6-7_vs_3-5,GMM,0.5
ecoli-0-2-6-7_vs_3-5,ISOF,0.3375
ecoli-0-2-6-7_vs_3-5,OCSVM,0.175
ecoli-0-2-6-7_vs_3-5,manhattanBRM,0.08499999999999999
ecoli-0-2-6-7_vs_3-5,cosineBRM,0.28500000000000003
ecoli-0-2-6-7_vs_3-5,chebyshevBRM,0.175
ecoli-0-2-3-4_vs_5,BRM,0.14864864864864863
ecoli-0-2-3-4_vs_5,GMM,0.44594594594594594
ecoli-0-2-3-4_vs_5,ISOF,0.10810810810810811
ecoli-0-2-3-4_vs_5,OCSVM,0.24324324324324326
