db,model,auc
kr-vs-k-zero_vs_fifteen,BRM,0.25558121632024633
kr-vs-k-zero_vs_fifteen,GMM,0.758275596612779
kr-vs-k-zero_vs_fifteen,ISOF,0.06812933025404155
kr-vs-k-zero_vs_fifteen,OCSVM,0.24018475750577367
kr-vs-k-zero_vs_fifteen,manhattanBRM,0.2644341801385681
kr-vs-k-zero_vs_fifteen,cosineBRM,0.2678983833718245
kr-vs-k-zero_vs_fifteen,chebyshevBRM,0.23787528868360275
kr-vs-k-zero_vs_eight,BRM,0.4149184149184149
kr-vs-k-zero_vs_eight,GMM,0.21328671328671328
kr-vs-k-zero_vs_eight,ISOF,0.48659673659673663
kr-vs-k-zero_vs_eight,OCSVM,0.5332167832167832
kr-vs-k-zero_vs_eight,manhattanBRM,0.4079254079254079
kr-vs-k-zero_vs_eight,cosineBRM,0.3822843822843823
kr-vs-k-zero_vs_eight,chebyshevBRM,0.38956876456876455
kr-vs-k-zero-one_vs_draw,BRM,0.22772108843537417
kr-vs-k-zero-one_vs_draw,GMM,0.39851190476190473
kr-vs-k-zero-one_vs_draw,ISOF,0.38541666666666663
kr-vs-k-zero-one_vs_draw,OCSVM,0.38035714285714284
kr-vs-k-zero-one_vs_draw,manhattanBRM,0.2878401360544218
kr-vs-k-zero-one_vs_draw,cosineBRM,0.1651360544217687
kr-vs-k-zero-one_vs_draw,chebyshevBRM,0.16836734693877553
kr-vs-k-three_vs_eleven,BRM,0.16542827657378742
kr-vs-k-three_vs_eleven,GMM,0.42719298245614035
kr-vs-k-three_vs_eleven,ISOF,0.44019607843137254
kr-vs-k-three_vs_eleven,OCSVM,0.2776573787409701
kr-vs-k-three_vs_eleven,manhattanBRM,0.1885964912280702
kr-vs-k-three_vs_eleven,cosineBRM,0.18658410732714137
kr-vs-k-three_vs_eleven,chebyshevBRM,0.1628998968008256
kr-vs-k-one_vs_fifteen,BRM,0.16397228637413397
kr-vs-k-one_vs_fifteen,GMM,0.5614896073903003
kr-vs-k-one_vs_fifteen,ISOF,0.051963048498845255
kr-vs-k-one_vs_fifteen,OCSVM,0.2887557736720554
kr-vs-k-one_vs_fifteen,manhattanBRM,0.20814087759815242
kr-vs-k-one_vs_fifteen,cosineBRM,0.14145496535796767
kr-vs-k-one_vs_fifteen,chebyshevBRM,0.19572748267898382
habermanImb,BRM,0.34248366013071896
habermanImb,GMM,0.26928104575163403
habermanImb,ISOF,0.4235294117647058
habermanImb,OCSVM,0.5941176470588235
habermanImb,manhattanBRM,0.32810457516339875
habermanImb,cosineBRM,0.3176470588235294
habermanImb,chebyshevBRM,0.3477124183006536
glass6,BRM,0.2882882882882883
glass6,GMM,0.8648648648648649
glass6,ISOF,0.30405405405405406
glass6,OCSVM,0.21621621621621623
glass6,manhattanBRM,0.2882882882882883
glass6,cosineBRM,0.24324324324324323
glass6,chebyshevBRM,0.2792792792792793
glass5,BRM,0.036585365853658514
glass5,GMM,0.12195121951219512
glass5,ISOF,0.31097560975609756
glass5,OCSVM,0.20731707317073172
glass5,manhattanBRM,0.036585365853658514
glass5,cosineBRM,0.036585365853658514
glass5,chebyshevBRM,0.04878048780487804
glass4,BRM,0.1416666666666667
glass4,GMM,0.85
glass4,ISOF,0.55
glass4,OCSVM,0.4541666666666666
glass4,manhattanBRM,0.1416666666666667
glass4,cosineBRM,0.10833333333333331
glass4,chebyshevBRM,0.16666666666666666
glass2,BRM,0.5192307692307692
glass2,GMM,0.3205128205128205
glass2,ISOF,0.5769230769230769
glass2,OCSVM,0.6314102564102564
glass2,manhattanBRM,0.5769230769230769
glass2,cosineBRM,0.5705128205128205
glass2,chebyshevBRM,0.5384615384615384
glass1,BRM,0.4305555555555556
glass1,GMM,0.3900462962962963
glass1,ISOF,0.579861111111111
glass1,OCSVM,0.5532407407407407
glass1,manhattanBRM,0.4212962962962963
glass1,cosineBRM,0.43749999999999994
glass1,chebyshevBRM,0.45833333333333337
glass0,BRM,0.7635467980295567
glass0,GMM,0.3103448275862069
glass0,ISOF,0.5862068965517242
glass0,OCSVM,0.7032019704433496
glass0,manhattanBRM,0.7389162561576355
glass0,cosineBRM,0.7536945812807881
glass0,chebyshevBRM,0.7635467980295567
glass-0-6_vs_5,BRM,0.3
glass-0-6_vs_5,GMM,0.5750000000000001
glass-0-6_vs_5,ISOF,0.55
glass-0-6_vs_5,OCSVM,0.75
glass-0-6_vs_5,manhattanBRM,0.325
glass-0-6_vs_5,cosineBRM,0.2
glass-0-6_vs_5,chebyshevBRM,0.27499999999999997
glass-0-4_vs_5,BRM,0.29411764705882354
glass-0-4_vs_5,GMM,0.47058823529411764
glass-0-4_vs_5,ISOF,0.5588235294117647
glass-0-4_vs_5,OCSVM,0.5735294117647058
glass-0-4_vs_5,manhattanBRM,0.2647058823529412
glass-0-4_vs_5,cosineBRM,0.20588235294117652
glass-0-4_vs_5,chebyshevBRM,0.2647058823529412
glass-0-1-6_vs_5,BRM,0.2571428571428572
glass-0-1-6_vs_5,GMM,0.8714285714285714
glass-0-1-6_vs_5,ISOF,0.5285714285714286
glass-0-1-6_vs_5,OCSVM,0.7285714285714286
glass-0-1-6_vs_5,manhattanBRM,0.2285714285714286
glass-0-1-6_vs_5,cosineBRM,0.17142857142857143
glass-0-1-6_vs_5,chebyshevBRM,0.2142857142857143
glass-0-1-6_vs_2,BRM,0.5357142857142857
glass-0-1-6_vs_2,GMM,0.5
glass-0-1-6_vs_2,ISOF,0.6
glass-0-1-6_vs_2,OCSVM,0.7
glass-0-1-6_vs_2,manhattanBRM,0.5285714285714286
glass-0-1-6_vs_2,cosineBRM,0.5142857142857142
glass-0-1-6_vs_2,chebyshevBRM,0.5214285714285715
glass-0-1-5_vs_2,BRM,0.45161290322580644
glass-0-1-5_vs_2,GMM,0.532258064516129
glass-0-1-5_vs_2,ISOF,0.6290322580645161
glass-0-1-5_vs_2,OCSVM,0.7298387096774194
glass-0-1-5_vs_2,manhattanBRM,0.45161290322580644
glass-0-1-5_vs_2,cosineBRM,0.4354838709677419
glass-0-1-5_vs_2,chebyshevBRM,0.47580645161290325
glass-0-1-4-6_vs_2,BRM,0.6418918918918919
glass-0-1-4-6_vs_2,GMM,0.6081081081081081
glass-0-1-4-6_vs_2,ISOF,0.5810810810810811
glass-0-1-4-6_vs_2,OCSVM,0.7297297297297297
glass-0-1-4-6_vs_2,manhattanBRM,0.6351351351351351
glass-0-1-4-6_vs_2,cosineBRM,0.6351351351351351
glass-0-1-4-6_vs_2,chebyshevBRM,0.6013513513513513
glass-0-1-2-3_vs_4-5-6,BRM,0.22443181818181818
glass-0-1-2-3_vs_4-5-6,GMM,0.24431818181818182
glass-0-1-2-3_vs_4-5-6,ISOF,0.3039772727272727
glass-0-1-2-3_vs_4-5-6,OCSVM,0.2471590909090909
glass-0-1-2-3_vs_4-5-6,manhattanBRM,0.25
glass-0-1-2-3_vs_4-5-6,cosineBRM,0.23295454545454547
glass-0-1-2-3_vs_4-5-6,chebyshevBRM,0.23295454545454547
flare-F,BRM,0.25311653116531163
flare-F,GMM,0.7195121951219512
flare-F,ISOF,0.3100271002710027
flare-F,OCSVM,0.2829268292682927
flare-F,manhattanBRM,0.2455284552845528
flare-F,cosineBRM,0.2731707317073171
flare-F,chebyshevBRM,0.1821138211382114
ecoli4,BRM,0.19921875
ecoli4,GMM,0.6796875
ecoli4,ISOF,0.5390625
ecoli4,OCSVM,0.2109375
ecoli4,manhattanBRM,0.18359375
ecoli4,cosineBRM,0.44921875
ecoli4,chebyshevBRM,0.22265625
ecoli3,BRM,0.48009367681498827
ecoli3,GMM,0.5245901639344263
ecoli3,ISOF,0.43911007025761123
ecoli3,OCSVM,0.30093676814988285
ecoli3,manhattanBRM,0.48009367681498827
ecoli3,cosineBRM,0.7868852459016393
ecoli3,chebyshevBRM,0.5011709601873536
ecoli2,BRM,0.4354066985645933
ecoli2,GMM,0.5350877192982456
ecoli2,ISOF,0.507177033492823
ecoli2,OCSVM,0.401116427432217
ecoli2,manhattanBRM,0.39872408293460926
ecoli2,cosineBRM,0.3333333333333333
ecoli2,chebyshevBRM,0.4497607655502392
ecoli1,BRM,0.38461538461538464
ecoli1,GMM,0.860576923076923
ecoli1,ISOF,0.4951923076923077
ecoli1,OCSVM,0.3894230769230769
ecoli1,manhattanBRM,0.375
ecoli1,cosineBRM,0.65625
ecoli1,chebyshevBRM,0.40985576923076916
ecoli-0_vs_1,BRM,0.7517241379310344
ecoli-0_vs_1,GMM,0.5
ecoli-0_vs_1,ISOF,0.5827586206896552
ecoli-0_vs_1,OCSVM,0.6091954022988506
ecoli-0_vs_1,manhattanBRM,0.7747126436781608
ecoli-0_vs_1,cosineBRM,0.503448275862069
ecoli-0_vs_1,chebyshevBRM,0.7241379310344828
ecoli-0-6-7_vs_5,BRM,0.1625
ecoli-0-6-7_vs_5,GMM,0.5375
ecoli-0-6-7_vs_5,ISOF,0.625
ecoli-0-6-7_vs_5,OCSVM,0.45000000000000007
ecoli-0-6-7_vs_5,manhattanBRM,0.15625
ecoli-0-6-7_vs_5,cosineBRM,0.3625
ecoli-0-6-7_vs_5,chebyshevBRM,0.18125
ecoli-0-6-7_vs_3-5,BRM,0.019999999999999997
ecoli-0-6-7_vs_3-5,GMM,0.55
ecoli-0-6-7_vs_3-5,ISOF,0.25
ecoli-0-6-7_vs_3-5,OCSVM,0.33749999999999997
ecoli-0-6-7_vs_3-5,manhattanBRM,0.010000000000000009
ecoli-0-6-7_vs_3-5,cosineBRM,0.11000000000000001
ecoli-0-6-7_vs_3-5,chebyshevBRM,0.045
ecoli-0-4-6_vs_5,BRM,0.2162162162162162
ecoli-0-4-6_vs_5,GMM,0.5
ecoli-0-4-6_vs_5,ISOF,0.20608108108108109
ecoli-0-4-6_vs_5,OCSVM,0.40878378378378377
ecoli-0-4-6_vs_5,manhattanBRM,0.17567567567567569
ecoli-0-4-6_vs_5,cosineBRM,0.36486486486486486
ecoli-0-4-6_vs_5,chebyshevBRM,0.22972972972972971
ecoli-0-3-4_vs_5,BRM,0.27083333333333337
ecoli-0-3-4_vs_5,GMM,0.19444444444444442
ecoli-0-3-4_vs_5,ISOF,0.3472222222222222
ecoli-0-3-4_vs_5,OCSVM,0.29166666666666663
ecoli-0-3-4_vs_5,manhattanBRM,0.2569444444444444
ecoli-0-3-4_vs_5,cosineBRM,0.41666666666666663
ecoli-0-3-4_vs_5,chebyshevBRM,0.2916666666666667
ecoli-0-3-4-7_vs_5-6,BRM,0.3021276595744681
ecoli-0-3-4-7_vs_5-6,GMM,0.3
ecoli-0-3-4-7_vs_5-6,ISOF,0.29574468085106387
ecoli-0-3-4-7_vs_5-6,OCSVM,0.4085106382978723
ecoli-0-3-4-7_vs_5-6,manhattanBRM,0.28085106382978725
ecoli-0-3-4-7_vs_5-6,cosineBRM,0.3829787234042554
ecoli-0-3-4-7_vs_5-6,chebyshevBRM,0.3148936170212766
ecoli-0-3-4-6_vs_5,BRM,0.20945945945945946
ecoli-0-3-4-6_vs_5,GMM,0.597972972972973
ecoli-0-3-4-6_vs_5,ISOF,0.4560810810810811
ecoli-0-3-4-6_vs_5,OCSVM,0.21621621621621623
ecoli-0-3-4-6_vs_5,manhattanBRM,0.18243243243243243
ecoli-0-3-4-6_vs_5,cosineBRM,0.2905405405405405
ecoli-0-3-4-6_vs_5,chebyshevBRM,0.18243243243243243
ecoli-0-2-6-7_vs_3-5,BRM,0.14
ecoli-0-2-6-7_vs_3-5,GMM,0.5
ecoli-0-2-6-7_vs_3-5,ISOF,0.3375
ecoli-0-2-6-7_vs_3-5,OCSVM,0.175
ecoli-0-2-6-7_vs_3-5,manhattanBRM,0.09
ecoli-0-2-6-7_vs_3-5,cosineBRM,0.28500000000000003
ecoli-0-2-6-7_vs_3-5,chebyshevBRM,0.18
ecoli-0-2-3-4_vs_5,BRM,0.16216216216216217
ecoli-0-2-3-4_vs_5,GMM,0.44594594594594594
ecoli-0-2-3-4_vs_5,ISOF,0.10810810810810811
ecoli-0-2-3-4_vs_5,OCSVM,0.24324324324324326
ecoli-0-2-3-4_vs_5,manhattanBRM,0.14864864864864866
ecoli-0-2-3-4_vs_5,cosineBRM,0.2162162162162162
ecoli-0-2-3-4_vs_5,chebyshevBRM,0.16216216216216214
ecoli-0-1_vs_5,BRM,0.28977272727272724
ecoli-0-1_vs_5,GMM,0.5
ecoli-0-1_vs_5,ISOF,0.32954545454545453
ecoli-0-1_vs_5,OCSVM,0.375
ecoli-0-1_vs_5,manhattanBRM,0.23863636363636365
ecoli-0-1_vs_5,cosineBRM,0.33522727272727276
ecoli-0-1_vs_5,chebyshevBRM,0.28977272727272724
ecoli-0-1_vs_2-3-5,BRM,0.21363636363636368
ecoli-0-1_vs_2-3-5,GMM,0.5
ecoli-0-1_vs_2-3-5,ISOF,0.17954545454545454
ecoli-0-1_vs_2-3-5,OCSVM,0.26136363636363635
ecoli-0-1_vs_2-3-5,manhattanBRM,0.17272727272727273
ecoli-0-1_vs_2-3-5,cosineBRM,0.30000000000000004
ecoli-0-1_vs_2-3-5,chebyshevBRM,0.2272727272727273
ecoli-0-1-4-7_vs_5-6,BRM,0.30645161290322587
ecoli-0-1-4-7_vs_5-6,GMM,0.4080645161290323
ecoli-0-1-4-7_vs_5-6,ISOF,0.39677419354838717
ecoli-0-1-4-7_vs_5-6,OCSVM,0.4419354838709677
ecoli-0-1-4-7_vs_5-6,manhattanBRM,0.26774193548387093
ecoli-0-1-4-7_vs_5-6,cosineBRM,0.3774193548387097
ecoli-0-1-4-7_vs_5-6,chebyshevBRM,0.30000000000000004
ecoli-0-1-4-7_vs_2-3-5-6,BRM,0.28494623655913975
ecoli-0-1-4-7_vs_2-3-5-6,GMM,0.20161290322580644
ecoli-0-1-4-7_vs_2-3-5-6,ISOF,0.3709677419354839
ecoli-0-1-4-7_vs_2-3-5-6,OCSVM,0.4569892473118279
ecoli-0-1-4-7_vs_2-3-5-6,manhattanBRM,0.25
ecoli-0-1-4-7_vs_2-3-5-6,cosineBRM,0.3118279569892473
ecoli-0-1-4-7_vs_2-3-5-6,chebyshevBRM,0.30376344086021506
ecoli-0-1-4-6_vs_5,BRM,0.1923076923076923
ecoli-0-1-4-6_vs_5,GMM,0.49038461538461536
ecoli-0-1-4-6_vs_5,ISOF,0.20192307692307693
ecoli-0-1-4-6_vs_5,OCSVM,0.22115384615384615
ecoli-0-1-4-6_vs_5,manhattanBRM,0.18750000000000003
ecoli-0-1-4-6_vs_5,cosineBRM,0.33653846153846156
ecoli-0-1-4-6_vs_5,chebyshevBRM,0.21634615384615383
ecoli-0-1-3-7_vs_2-6,BRM,0.18181818181818182
ecoli-0-1-3-7_vs_2-6,GMM,0.9909090909090909
ecoli-0-1-3-7_vs_2-6,ISOF,0.08181818181818185
ecoli-0-1-3-7_vs_2-6,OCSVM,0.2272727272727273
ecoli-0-1-3-7_vs_2-6,manhattanBRM,0.1454545454545455
ecoli-0-1-3-7_vs_2-6,cosineBRM,0.036363636363636376
ecoli-0-1-3-7_vs_2-6,chebyshevBRM,0.09090909090909094
dermatology-6,BRM,0.3014705882352941
dermatology-6,GMM,0.8014705882352942
dermatology-6,ISOF,0.22058823529411764
dermatology-6,OCSVM,0.21323529411764708
dermatology-6,manhattanBRM,0.2573529411764706
dermatology-6,cosineBRM,0.20220588235294118
dermatology-6,chebyshevBRM,0.22426470588235292
cleveland-0_vs_4,BRM,0.041666666666666664
